epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1301,2.19543,2.27015,0.68169,2.70464,1.89494,0.84711,0.24573,0.29058,0.12586,0.78573,0.28748,0.29578,0.12074,1.90281,2.30232,0.66549,2.57719,1.67519,0.00028339,0.00028339,0.00028339
2,90.3151,1.70096,1.59747,0.59541,1.41497,1.44452,0.41745,0.47531,0.4277,0.21253,0.42134,0.47951,0.42483,0.20637,1.73257,2.08519,0.58484,1.94832,1.40745,0.000525688,0.000525688,0.000525688
3,162.8,1.66568,1.31943,0.54845,1.21488,1.42202,0.37078,0.48235,0.40103,0.17743,0.38386,0.50133,0.42179,0.2456,1.82959,1.68582,0.54035,1.21824,1.51061,0.000708575,0.000708575,0.000708575
4,213.713,1.56813,1.03391,0.51835,1.11707,1.33542,0.37317,0.64782,0.471,0.23421,0.3727,0.64877,0.46782,0.3355,1.66716,1.20815,0.48343,1.06989,1.40522,0.00083205,0.00083205,0.00083205
5,274.473,1.55725,0.8681,0.49193,1.06974,1.34071,0.93758,0.2315,0.27094,0.13489,0.91761,0.24953,0.27601,0.21613,1.69279,1.01546,0.44484,1.17591,1.31497,0.000896113,0.000896113,0.000896113
6,350.801,1.54872,0.78551,0.45976,0.98914,1.29225,0.9269,0.25142,0.35309,0.19261,0.93327,0.24639,0.34921,0.27198,1.54372,0.8726,0.40047,1.29041,1.31485,0.000841835,0.000841835,0.000841835
7,439.483,1.48142,0.71887,0.44637,0.95977,1.29454,0.73378,0.33909,0.32889,0.19306,0.72882,0.33435,0.32408,0.25052,1.52112,0.80686,0.38277,0.98815,1.30006,0.000676802,0.000676802,0.000676802
8,515.623,1.47669,0.65141,0.42157,0.91073,1.27567,0.66926,0.25939,0.26443,0.15022,0.66175,0.2556,0.26105,0.20336,1.54235,0.72253,0.354,0.85483,1.27257,0.000511769,0.000511769,0.000511769
9,601.674,1.46722,0.61712,0.39841,0.87105,1.26629,0.64101,0.20152,0.20537,0.11922,0.62811,0.19772,0.20125,0.15598,1.5361,0.68867,0.34565,0.82836,1.28577,0.000346736,0.000346736,0.000346736
