epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7683,2.19184,2.24688,0.68722,2.74634,1.892,0.37203,0.3704,0.31038,0.13029,0.39057,0.38447,0.32691,0.13594,1.95211,2.3171,0.66501,2.95751,1.68592,0.00028339,0.00028339,0.00028339
2,62.5352,1.7182,1.61998,0.60994,1.4239,1.43609,0.43319,0.46433,0.42144,0.19658,0.43542,0.46622,0.42367,0.20143,1.80896,2.03128,0.60059,1.55001,1.53868,0.000571898,0.000571898,0.000571898
3,99.4513,1.65843,1.29705,0.56696,1.21131,1.38931,0.91702,0.38143,0.41157,0.20408,0.92244,0.3876,0.41321,0.24851,1.63758,1.54187,0.53934,1.41567,1.45434,0.000848523,0.000848523,0.000848523
4,150.949,1.62911,1.01393,0.54192,1.17529,1.39835,0.94783,0.42694,0.45723,0.20916,0.9507,0.42497,0.4625,0.33983,1.77839,1.17302,0.46724,1.12362,1.4785,0.00111327,0.00111327,0.00111327
5,193.316,1.61528,0.87573,0.50679,1.08984,1.36324,0.93361,0.30985,0.32693,0.16548,0.92692,0.30483,0.32312,0.23233,1.61259,1.06063,0.41471,1.20228,1.44641,0.00136613,0.00136613,0.00136613
6,235.75,1.58482,0.80691,0.48032,1.07792,1.3388,0.53408,0.52163,0.44444,0.24006,0.52804,0.51594,0.43751,0.31148,1.62668,0.87307,0.37038,0.98965,1.36464,0.00150197,0.00150197,0.00150197
7,286.886,1.59365,0.76339,0.45383,1.02521,1.33562,0.94015,0.27704,0.37216,0.20524,0.92553,0.27105,0.36345,0.27628,1.60329,0.82121,0.32977,0.93971,1.29844,0.00146896,0.00146896,0.00146896
8,336.578,1.5792,0.6815,0.42133,1.0286,1.31076,0.95374,0.28463,0.32346,0.17285,0.94463,0.28191,0.31398,0.25597,1.55168,0.75584,0.29022,0.94606,1.29243,0.00143595,0.00143595,0.00143595
9,393.831,1.51256,0.66324,0.39846,1.01504,1.30479,0.96836,0.25806,0.27222,0.14045,0.95459,0.25047,0.25914,0.2227,1.61354,0.75238,0.2662,0.91431,1.30941,0.00140295,0.00140295,0.00140295
10,466.664,1.51444,0.59719,0.3702,0.919,1.28923,0.91961,0.16838,0.16819,0.08636,0.91725,0.16743,0.16586,0.14611,1.58341,0.70577,0.24348,0.97414,1.31466,0.00136994,0.00136994,0.00136994
11,544.54,1.50105,0.59491,0.36234,0.9302,1.27962,0.63881,0.29924,0.29905,0.18566,0.63347,0.29545,0.29829,0.23918,1.5213,0.66639,0.23692,0.86116,1.26542,0.00133693,0.00133693,0.00133693
12,616.272,1.50384,0.56145,0.33476,0.908,1.2856,0.80918,0.26603,0.25995,0.14224,0.80704,0.26509,0.2586,0.20933,1.54616,0.68236,0.22941,0.86654,1.33506,0.00130393,0.00130393,0.00130393
13,692.568,1.52659,0.53074,0.32838,0.87622,1.30633,0.5924,0.27457,0.26882,0.15842,0.58839,0.2727,0.26376,0.20769,1.5652,0.62143,0.22424,0.8207,1.33613,0.00127092,0.00127092,0.00127092
14,782.572,1.52246,0.57992,0.33186,0.88855,1.28609,0.91489,0.26129,0.261,0.15189,0.91068,0.2598,0.25911,0.20127,1.55923,0.63372,0.2106,0.81197,1.32228,0.00123791,0.00123791,0.00123791
15,871.703,1.49548,0.51895,0.32255,0.8708,1.28508,0.4433,0.10626,0.10498,0.04923,0.45122,0.10816,0.10506,0.09437,1.81628,0.61466,0.21368,0.839,1.39392,0.00120491,0.00120491,0.00120491
16,1007.26,1.51058,0.50736,0.31784,0.86993,1.29768,0.46234,0.16308,0.16339,0.08614,0.46292,0.16319,0.16384,0.14038,1.61853,0.5751,0.20246,0.78488,1.31597,0.0011719,0.0011719,0.0011719
17,1150.3,1.49228,0.51114,0.31811,0.84228,1.27857,0.46509,0.13378,0.13103,0.06505,0.45529,0.13188,0.13062,0.11754,1.65883,0.57693,0.1991,0.78103,1.32017,0.00113889,0.00113889,0.00113889
18,1263.39,1.47901,0.49861,0.30107,0.83248,1.28138,0.90079,0.28691,0.31445,0.17142,0.88451,0.28027,0.30769,0.24919,1.54234,0.57288,0.19697,0.75428,1.30361,0.00110589,0.00110589,0.00110589
19,1427.27,1.48564,0.48715,0.30009,0.80467,1.27212,0.60603,0.26603,0.2611,0.14591,0.59949,0.26319,0.25773,0.21119,1.52608,0.58006,0.19484,0.74086,1.30955,0.00107288,0.00107288,0.00107288
20,1545.02,1.50082,0.4978,0.3036,0.8298,1.28408,0.74281,0.2926,0.28955,0.16274,0.72983,0.28691,0.2794,0.23178,1.5098,0.57972,0.19197,0.75195,1.28436,0.00103987,0.00103987,0.00103987
21,1640.69,1.48407,0.46625,0.29492,0.82526,1.2766,0.87544,0.3013,0.30672,0.16912,0.85759,0.29371,0.29592,0.25039,1.57047,0.57156,0.18425,0.72396,1.29832,0.00100687,0.00100687,0.00100687
22,1741.73,1.45555,0.46934,0.29518,0.77924,1.26579,0.94425,0.16319,0.16326,0.08657,0.94262,0.161,0.16015,0.14233,1.49739,0.57167,0.18366,0.70824,1.28264,0.000973861,0.000973861,0.000973861
23,1897.77,1.4542,0.46229,0.2902,0.78392,1.26023,0.90539,0.26027,0.26066,0.15152,0.86854,0.26319,0.26066,0.21368,1.53646,0.55232,0.1838,0.73039,1.32009,0.000940855,0.000940855,0.000940855
24,2021.73,1.47373,0.47591,0.28992,0.78369,1.27431,0.94737,0.12998,0.12807,0.06652,0.9441,0.12903,0.12521,0.11469,1.55358,0.54822,0.18531,0.70491,1.29624,0.000907848,0.000907848,0.000907848
25,2150.64,1.45592,0.4653,0.28338,0.77563,1.26783,0.94068,0.06926,0.06608,0.03621,0.94915,0.06831,0.06608,0.06068,1.50177,0.54647,0.18154,0.70084,1.29516,0.000874842,0.000874842,0.000874842
26,2617.15,1.47554,0.46016,0.28795,0.79002,1.26519,0.93063,0.03226,0.03082,0.01609,0.93063,0.03226,0.03082,0.02642,1.5195,0.53211,0.17956,0.68795,1.26031,0.000841835,0.000841835,0.000841835
