epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4914,2.22007,2.26984,0.68415,2.74596,1.87494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028339,0.00028339,0.00028339
2,36.91,1.74082,1.6301,0.61478,1.51993,1.43173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000571898,0.000571898,0.000571898
3,54.248,1.60236,1.36692,0.56463,1.2377,1.36329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000848523,0.000848523,0.000848523
4,72.4176,1.60813,1.09458,0.54188,1.11397,1.34961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111327,0.00111327,0.00111327
5,91.4646,1.58791,0.88286,0.50892,1.08324,1.33074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136613,0.00136613,0.00136613
6,124.109,1.60651,0.80407,0.47896,1.03868,1.33281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,146.552,1.59838,0.73775,0.44618,0.99392,1.31987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,168.429,1.58807,0.69682,0.42699,0.98175,1.29821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,190.416,1.56474,0.64315,0.39385,0.93252,1.29151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,212.201,1.54428,0.62086,0.38072,0.95569,1.29651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,235.569,1.53944,0.58453,0.35342,0.94079,1.30264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,257.834,1.54079,0.59452,0.34948,0.90184,1.29376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,280.746,1.51305,0.52337,0.33153,0.87388,1.26861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,304.227,1.49809,0.54116,0.33918,0.85828,1.25353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,329.569,1.50352,0.52081,0.32009,0.85731,1.25495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,353.478,1.53768,0.51999,0.32233,0.85841,1.28845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,380.217,1.54583,0.5303,0.3103,0.89173,1.29313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
18,406.86,1.47729,0.53772,0.31544,0.86338,1.2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
